80 16 80
0,1223987 0,0625 0,1232775
-4,89595 -0,01199999 -4,9311
4,89595 0,988 4,9311
64 0 0;2,99877 0,01925004 -4,869462
64 0 16;2,99877 0,01925004 -2,897021
64 0 32;2,99877 0,01925004 -0,9245812
64 0 48;2,99877 0,01925004 1,047859
64 0 64;2,99877 0,01925004 3,020298
0 0 32;-4,834751 0,01925004 -0,9245812
0 0 0;-4,834751 0,01925004 -4,869462
0 0 48;-4,834751 0,01925004 1,047859
0 0 64;-4,834751 0,01925004 3,020298
0 0 16;-4,834751 0,01925004 -2,897021
16 0 32;-2,876371 0,01925004 -0,9245812
16 0 48;-2,876371 0,01925004 1,047859
16 0 64;-2,876371 0,01925004 3,020298
16 0 0;-2,876371 0,01925004 -4,869462
16 0 16;-2,876371 0,01925004 -2,897021
32 0 64;-0,9179905 0,01925004 3,020298
32 0 48;-0,9179905 0,01925004 1,047859
32 0 32;-0,9179905 0,01925004 -0,9245812
32 0 0;-0,9179905 0,01925004 -4,869462
32 0 16;-0,9179905 0,01925004 -2,897021
48 0 0;1,04039 0,01925004 -4,869462
48 0 16;1,04039 0,01925004 -2,897021
48 0 32;1,04039 0,01925004 -0,9245812
48 0 64;1,04039 0,01925004 3,020298
48 0 48;1,04039 0,01925004 1,047859
4 0 0;-4,345155 0,01925004 -4,869462
4 0 64;-4,345155 0,01925004 3,020298
4 0 48;-4,345155 0,01925004 1,047859
4 0 32;-4,345155 0,01925004 -0,9245812
4 0 16;-4,345155 0,01925004 -2,897021
8 0 48;-3,855561 0,01925004 1,047859
8 0 32;-3,855561 0,01925004 -0,9245812
8 0 16;-3,855561 0,01925004 -2,897021
8 0 0;-3,855561 0,01925004 -4,869462
8 0 64;-3,855561 0,01925004 3,020298
20 0 0;-2,386776 0,01925004 -4,869462
20 0 64;-2,386776 0,01925004 3,020298
20 0 48;-2,386776 0,01925004 1,047859
20 0 32;-2,386776 0,01925004 -0,9245812
20 0 16;-2,386776 0,01925004 -2,897021
24 0 64;-1,89718 0,01925004 3,020298
24 0 48;-1,89718 0,01925004 1,047859
24 0 32;-1,89718 0,01925004 -0,9245812
24 0 16;-1,89718 0,01925004 -2,897021
24 0 0;-1,89718 0,01925004 -4,869462
36 0 0;-0,4283955 0,01925004 -4,869462
36 0 64;-0,4283955 0,01925004 3,020298
36 0 48;-0,4283955 0,01925004 1,047859
36 0 32;-0,4283955 0,01925004 -0,9245812
36 0 16;-0,4283955 0,01925004 -2,897021
40 0 64;0,06119949 0,01925004 3,020298
40 0 48;0,06119949 0,01925004 1,047859
40 0 32;0,06119949 0,01925004 -0,9245812
40 0 16;0,06119949 0,01925004 -2,897021
40 0 0;0,06119949 0,01925004 -4,869462
52 0 48;1,529984 0,01925004 1,047859
52 0 64;1,529984 0,01925004 3,020298
52 0 0;1,529984 0,01925004 -4,869462
52 0 16;1,529984 0,01925004 -2,897021
52 0 32;1,529984 0,01925004 -0,9245812
56 0 0;2,01958 0,01925004 -4,869462
56 0 16;2,01958 0,01925004 -2,897021
56 0 64;2,01958 0,01925004 3,020298
56 0 48;2,01958 0,01925004 1,047859
56 0 32;2,01958 0,01925004 -0,9245812
68 0 48;3,488365 0,01925004 1,047859
68 0 64;3,488365 0,01925004 3,020298
68 0 0;3,488365 0,01925004 -4,869462
68 0 16;3,488365 0,01925004 -2,897021
68 0 32;3,488365 0,01925004 -0,9245812
72 0 0;3,977959 0,01925004 -4,869462
72 0 16;3,977959 0,01925004 -2,897021
72 0 32;3,977959 0,01925004 -0,9245812
72 0 48;3,977959 0,01925004 1,047859
72 0 64;3,977959 0,01925004 3,020298
49 0 48;1,162788 0,01925004 1,047859
49 0 64;1,162788 0,01925004 3,020298
53 0 16;1,652383 0,01925004 -2,897021
53 0 0;1,652383 0,01925004 -4,869462
53 0 64;1,652383 0,01925004 3,020298
53 0 48;1,652383 0,01925004 1,047859
53 0 32;1,652383 0,01925004 -0,9245812
57 0 0;2,141979 0,01925004 -4,869462
57 0 16;2,141979 0,01925004 -2,897021
57 0 32;2,141979 0,01925004 -0,9245812
57 0 48;2,141979 0,01925004 1,047859
57 0 64;2,141979 0,01925004 3,020298
65 0 16;3,121168 0,01925004 -2,897021
65 0 32;3,121168 0,01925004 -0,9245812
65 0 48;3,121168 0,01925004 1,047859
65 0 64;3,121168 0,01925004 3,020298
65 0 0;3,121168 0,01925004 -4,869462
69 0 64;3,610763 0,01925004 3,020298
69 0 48;3,610763 0,01925004 1,047859
69 0 32;3,610763 0,01925004 -0,9245812
69 0 16;3,610763 0,01925004 -2,897021
69 0 0;3,610763 0,01925004 -4,869462
73 0 16;4,100358 0,01925004 -2,897021
73 0 32;4,100358 0,01925004 -0,9245812
73 0 48;4,100358 0,01925004 1,047859
73 0 64;4,100358 0,01925004 3,020298
73 0 0;4,100358 0,01925004 -4,869462
1 0 0;-4,712352 0,01925004 -4,869462
1 0 16;-4,712352 0,01925004 -2,897021
1 0 32;-4,712352 0,01925004 -0,9245812
1 0 48;-4,712352 0,01925004 1,047859
1 0 64;-4,712352 0,01925004 3,020298
2 0 0;-4,589953 0,01925004 -4,869462
5 0 0;-4,222757 0,01925004 -4,869462
5 0 64;-4,222757 0,01925004 3,020298
5 0 48;-4,222757 0,01925004 1,047859
5 0 32;-4,222757 0,01925004 -0,9245812
5 0 16;-4,222757 0,01925004 -2,897021
9 0 0;-3,733162 0,01925004 -4,869462
9 0 16;-3,733162 0,01925004 -2,897021
9 0 32;-3,733162 0,01925004 -0,9245812
9 0 48;-3,733162 0,01925004 1,047859
9 0 64;-3,733162 0,01925004 3,020298
17 0 64;-2,753972 0,01925004 3,020298
17 0 0;-2,753972 0,01925004 -4,869462
17 0 16;-2,753972 0,01925004 -2,897021
17 0 32;-2,753972 0,01925004 -0,9245812
17 0 48;-2,753972 0,01925004 1,047859
